symptoms,sentences
"['nausea', 'Vomit']",Are there any other symptoms? Do you feel nauseous?
['Gastrointestinal disorders'],It may be a gastrointestinal disorder.
"['diarrhea', 'diarrhea']",This one mainly treats diarrhea. No need to eat if there is no diarrhea.
['diarrhea'],"Hello, how long has this situation been? Do you have diarrhea?"
['fever'],Do you have a fever?
['stomach ache'],Hello! Is it a pain in the abdomen? Still the chest.
"['nausea', 'Vomit', 'cough']",Whether there is coughing or nausea or vomiting.
['Helicobacter infection'],Positive Helicobacter must be treated with quadruple therapy.
['Perianal pain'],Is the anus pain during or after going to the toilet?
['hemorrhoid'],You have both hemorrhoids and anal fissures.
['hemorrhoid'],"The first step is to take a bath after dissolving potassium permanganate in warm water, 30 minutes each time, twice a day! In the second step, apply dry after taking a bath, and apply three times of iodophor! The third step is to apply Ma Yinglong hemorrhoid ointment twice. ! The fourth step, oral amoxicillin capsules, Yunnan Baiyao capsules, topical anal suppository! The fifth step is to take Fenbid capsules for severe pain! The sixth step, clean the anus with running water after every bowel movement!"
['hemorrhoid'],Then look at the condition of hemorrhoids and anal fissure during colonoscopy.
"['Bloating', 'Hiccup', 'Reflux']","Do you have any symptoms of discomfort, hiccups, regurgitation, and bloating? Is the bowel movement regular?"
['diarrhea'],"Except for diarrhea, do you have other symptoms when you don't eat cold food?"
['Dizziness'],Is it because I feel dizzy when I get up.
['Fatigue'],Why can't that get up. Is it the weakness of the lower limbs?
"['Hiccup', 'Reflux', 'Heartburn']","Are there any abnormal bruises, acid reflux, hiccups and heartburn?"
"['diarrhea', 'stomach ache']","Do you have abdominal pain and diarrhea? The situation varies from place to place, the local area is around 380..."
['hemorrhoid'],"This consideration is the manifestation of hemorrhoids. It is mild. It will be better to treat Ma Yinglong hemorrhoids ointment for a few days, but it does not matter."
"['stomach ache', 'Bloating']",Are there any symptoms of abdominal pain or bloating?
['indigestion'],"This is not easy to digest, and it is occasionally eaten in small amounts."
['Vomit'],Did it click or spit it out?
['diarrhea'],"Hello, how long has the diarrhea been?"
['allergy'],"Hi! You may have pharyngitis, you can take cefdinir. Penicillin allergy can not be eaten."
"['Reflux', 'Heartburn']",Is there any acid reflux heartburn? Are there any other discomforts?
['hemorrhoid'],It should be caused by hemorrhoids.
"['Reflux', 'Heartburn']",Hi! Are there any other symptoms that need to be supplemented. Do you have acid reflux and heartburn?
['allergy'],Are you allergic to smell? Do you usually eat instant noodles?
"['stomach ache', 'Bloating']",Do you have abdominal pain and bloating?
['diarrhea'],"If the diarrhea is gradually stopped, the problem should not be too big ￼"
['Perianal pain'],Was there any trigger before this bleeding? Spicy? Drinking? Are there any symptoms of anal pain?
['Restless'],Is the interval between these three or four bowel movements in a day close? Do you take medicine? Anxiety medication?
['Loose stool'],What kind of medicine? How many times do you pull in a day? Is it all watery?
"['diarrhea', 'stomach ache', 'allergy']","In response to this consultation, the doctor updated the summary recommendations: Diarrhea medication recommendations: It is recommended to use the medicine Jinshuangqi or Zhengchangsheng + montmorillonite powder to try, and it is recommended to apply heat to the abdomen to relieve abdominal pain. Drink plenty of water. If you have frequent diarrhea, infusion therapy is recommended to prevent the imbalance of water, electrolyte and acid-base balance. You can also check the stool routine and stool culture to see if there is inflammation. If there is inflammation, it is recommended to use montmorillonite powder + berberine (of course, quinolone anti-inflammatory drugs are more effective, but the adverse reactions are relatively large. This drug is forbidden for allergies, pregnant women, and under 18 years of age.) Dr. Chunyu cannot prescribe prescriptions, and it is recommended to use drugs for reference only!"
['indigestion'],"It should be due to indigestion, constipation, drink plenty of water and exercise properly."
['stomach ache'],"There are many possible causes of abdominal pain, such as intestinal, urinary, gynecological, pancreatitis and so on."
['exhaust'],Um. Intestinal problems can get better after passing the stool.
"['Frequent urination', 'Urgency']","Is there urgency, pain, frequent urination?"
"['Anorexia', 'Restless']","""The stomach needs three parts medicine and seven parts nourishment."" 1. Quit bad habits and stay away from alcohol and tobacco. 2. Eat on time, according to quantity, according to quality 1, get up early and eat breakfast. On time, that is, three meals a day should be set at a fixed time. When the set time is reached, whether you are hungry or not, you have to eat. 2. According to the amount, three meals a day should be moderate, don't eat more because you want to eat, and don't eat if you don't want to eat. Eat a 7-point full for dinner. 3. According to quality, pay attention to the quality of diet. Avoid being cold and hard, and the temperature of the food should be ""not hot or cold"". Eat less fried foods, less pickled foods, and more vitamins-rich foods such as fruits and vegetables. 4. Participate in appropriate physical exercises to maintain a strong physique. This is undoubtedly not only helpful for the maintenance of stomach diseases. 5. Keep mentally happy and emotionally stable, and avoid tension, anxiety, irritation, etc."
['Sticky stool'],Mucus in the stool. Sometimes too.
['Vomit'],Are you vomiting?
['diarrhea'],Diarrhea also eased?
"['diarrhea', 'Bloating', 'Reflux', 'Heartburn']","Are there any symptoms of acid reflux, heartburn, diarrhea, or bloating?"
"['stomach ache', 'Cramps']",Pain in the upper abdomen may cause abdominal organ damage or intestinal cramps.
['stomach ache'],Have you ever been to the hospital for abdominal pain before? What to diagnose?
"['stomach ache', 'Bloating', 'Gastrointestinal discomfort']","Increased diet and meat consumption during the New Year can easily cause symptoms such as abdominal discomfort, bloating, and pain."
['indigestion'],"1. Avoid irritating foods such as too sour and spicy, and avoid foods that are not easy to digest and raw or cold. 2. Eat regularly and quantitatively, eat more foods rich in vitamins, and eat less pickled and barbecued foods. 3. Quit smoking and drinking, strong tea, coffee and other stimulating beverages. 4. Be cautious to use drugs that damage the gastric mucosa, such as aspirin and acetaminophen."
['Bloating'],Whether there is bloating.
['Gastrointestinal disorders'],Gastrointestinal dysfunction is accompanied by lack of motivation.
['Blood in stool'],Are there blood and thick stools?
['indigestion'],"It is dyspepsia. Try some drugs such as digestive enzymes or Xiaoshi tablets for a few days. If the symptoms continue to not improve after taking the medicine, it is recommended to follow-up."
"['Reflux', 'Heartburn']",Consider neck problems caused by cervical spondylosis. Is there any acid reflux heartburn? now.
['Reflux'],"Well, it is likely to be caused by reflux esophagitis."
['stomach ache'],Do you have abdominal pain?
"['Bloating', 'Gastrointestinal discomfort']","According to your description, it may be due to poor digestion. It is recommended that you usually eat, eat more vegetables and fruits, and pay attention to exercise. Otherwise, the gastrointestinal movement will also be affected, which will affect the bowel movement. In addition, if the stomach is uncomfortable , You can eat domperidone to help promote gastrointestinal movement."
"['Bloating', 'stomachache', 'Hiccup', 'Reflux']","Do hiccups regurgitate acid water? Is it bloating? Hello, are there any other symptoms besides the stomachache?"
['Perianal pain'],"Well, how many times do you have a bowel movement in a day? Is it a lot? Does the anus hurt when you defecate?"
['hemorrhoid'],"Okay, let me ask again, did you have hemorrhoids before."
['stomachache'],"Well, do you have stomachaches at night?"
['stomachache'],Have you ever had stomach pain during breakfast and lunch?
"['Reflux', 'Heartburn']","In addition, do you have any feeling of acid reflux or heartburn?"
"['hemorrhoid', 'Gastrointestinal disorders']","Well, you may have gastrointestinal dysfunction, possibly accompanied by internal rectal hemorrhoids."
['hemorrhoid'],"For hemorrhoids, it is recommended to eat more vegetables and fruits at room temperature, as well as whole grains, etc., which will help keep the intestines clean. Reduce the risk of bleeding from internal hemorrhoids."
['diarrhea'],"No need to eat, only eat if you have diarrhea."
"['nausea', 'Vomit']","Hello, where is the specific pain? Do you have nausea and vomiting? How is the stool solution?"
"['nausea', 'Vomit']",Do you have nausea and vomiting?
['Menstrual disorders'],"Hello, if menstruation is delayed for 10 days, pregnancy and sex can not be ruled out. Have you caught a cold?"
"['nausea', 'Vomit']","Well, then you have to do it a priori. Gastritis will also cause nausea and vomiting, and if you do not rest well, the black and white will be reversed."
"['Reflux', 'Heartburn']",There is no problem in the laboratory tests. Are there any symptoms of acid reflux and heartburn?
"['weight loss', 'Anorexia']",How about eating recently? Whether there is loss of appetite and weight loss.
"['Bloating', 'Hiccup']","Hello, if the elderly have bloated esophagus and uncomfortable hiccups, they can take some drugs that help digestion and regulate gastrointestinal motility, such as digestive enzymes and mosapride. If the symptoms are not relieved after taking it for about a week, gastroscopy should be reviewed regularly."
"['stomach ache', 'Bloating']",Does the stomach hurt? Is it bloated?
['Gastrointestinal discomfort'],"Pay attention to keep warm, do not catch cold, cold is more likely to cause intestinal discomfort."
"['stomach ache', 'Bloating']",Stomach ulcers generally do not cause abdominal distension and pain.
"['Bloating', 'indigestion', 'Anorexia']","Okay, first of all, it is recommended that you do not eat too much meat at night, which is difficult to digest and easy to bloat."
['stomachache'],"One is for stomach pain, and the other is for gastrointestinal peristalsis."
['indigestion'],"Hello, your situation is often caused by indigestion. It is mostly caused by not paying attention to your daily life and diet. Domperidone can increase gastric motility and will improve after taking medicine, but this is only a symptomatic treatment, and there may be symptoms after stopping the drug. symptom."
"['stomachache', 'Reflux', 'Heartburn']",Are there any acid reflux heartburn? Do you have stomachache?
['stomach ache'],How many times a day? Do you have abdominal pain every time?
['Gastrointestinal disorders'],This is related to gastrointestinal dysfunction.
['Dysbacteriosis'],"You can eat some intestinal health, which improves the imbalance of intestinal flora."
['Dysbacteriosis'],Zhengchangsheng improves the imbalance of intestinal flora and has little effect on the body.
['fever'],Do you have a fever?
"['nausea', 'Vomit']",Do you have nausea and vomiting?
"['Frequent urination', 'Urgency']",how old? Do you have urgency and frequent urination?
"['Hiccup', 'Reflux']",Are there any acid reflux hiccups?
['indigestion'],"Oh, it should be indigestion, stool is basically normal, and the problem is not big."
['Bowel'],"Hello, after eating, the gastrointestinal peristalsis will complete the process of digestion and absorption. Peristalsis will have a normal sound called bowel sounds."
"['stomach ache', 'Bloating']",Abdominal pain and bloating?
['hemorrhoid'],"Hello, how long has this been happening? Have you had hemorrhoids before?"
['sneeze'],"This treats runny nose, sneezing, etc. Can eat together."
['stomach ache'],About what time do you have a stomachache in the morning?
['stomach ache'],Does your stomach hurt after defecation? Haven't you gotten up at 7.8 o'clock? This is.
['diarrhea'],"It's not a big problem, it's relatively common. Traditional Chinese medicine is very effective in treating diarrhea, so don't worry too much."
['diarrhea'],"You can eat solid foods, which can reduce the frequency of diarrhea."
['Gastrointestinal disorders'],"At present, from your symptoms, the main consideration is caused by intestinal dysfunction."
['Gastrointestinal disorders'],"Intestinal dysfunction, it takes at least two weeks for the medication to be effective."
['diarrhea'],Diarrhea and constipation alternate?
['Dysbacteriosis'],"Well, I think the intestinal flora is out of balance."
['diarrhea'],How many times do you have a bowel movement in a day? Do you have diarrhea?
['Restless'],Uh-huh. Are you anxious?
['Restless'],If you are anxious about bowel problems.
['Menstrual disorders'],Is menstruation regular? Is this menstruation postponed? Can pregnancy be ruled out? Have you had sex?
['Restless'],Was there any anxiety during this time?
['Cramps'],It may be a spasm of the diaphragm.
['Gastrointestinal disorders'],"Hello, there should be gastrointestinal disorders. There may be gastritis."
['Anorexia'],"Take the medicine first. In case it is not good, it is recommended to go to the gastroenterology department of the hospital for gastroscopy."
['fever'],Are you having a fever now? Do you still have cold symptoms?
['Gastrointestinal discomfort'],It may irritate the stomach! But the main effect is a cold! Was there any gastrointestinal discomfort before?
"['nausea', 'Reflux']","Hello, do you have any symptoms of acid reflux and nausea?"
['Bloating'],"This is a normal phenomenon. After eating, the stomach is in a state of being full of food. At this time, if you sit down or lie down immediately, the digestive function of the stomach will be affected. The manifestation is bloating."
['Bloating'],Hello! Where is the specific location of the left abdomen bloating?
['allergy'],Skin itching is generally caused by allergic urticaria.
['Helicobacter infection'],Or blow air to recheck Helicobacter pylori in gastroscope.
['indigestion'],"Hello, what is the specific situation of poor digestion?"
"['stomach ache', 'Bloating', 'nausea']","Do you have any discomforts such as abdominal pain, bloating, nausea, etc.? Hello, still there?"
"['Bloating', 'exhaust']","Suggestion: If you have a lot of fart, you don't need to deal with it. If you have bloating, you can consider taking some compound digestive enzymes."
['stomach ache'],Can stomach pain be described in detail?
"['stomach ache', 'fever', 'nausea', 'Vomit']","Is there fever, nausea, vomiting, abdominal pain in the right lower abdomen?"
['stomach ache'],Pressing on the right lower abdomen does not hurt.
['Bloating'],What foods eat at noon can easily cause flatulence.
"['Bloating', 'indigestion']",Then your sudden flatulence indicates gastrointestinal indigestion.
['Gastrointestinal discomfort'],Is there any abdominal discomfort? It's better to have a bowel movement after defecation.
"['diarrhea', 'fever']","Hello, there is fever, diarrhea, nothing."
['Anorexia'],"Have some porridge. Because of the hot weather, people have poor appetites."
['Vomit'],Are you vomiting?
['diarrhea'],Dry mouth is due to diarrhea.
['Helicobacter infection'],hp is Helicobacter pylori. It means mild erosion of the gastric mucosa.
['Helicobacter infection'],You are negative for Helicobacter pylori. It has little to do with the stomach. Drink more water.
"['Reflux', 'Heartburn']",Do you have acid reflux heartburn?
['hemorrhoid'],"Hello, how long has it been like this? Do you have hemorrhoids?"
['hemorrhoid'],Blood on toilet paper is common in hemorrhoids.
"['stomach ache', 'Loose stool', 'Gastrointestinal disorders']","However, abdominal pain and loose stools after meals are manifestations of intestinal dysfunction."
['hemorrhoid'],Usually hemorrhoids.
['Helicobacter infection'],It doesn't matter if you have Helicobacter pylori.
['Helicobacter infection'],Your husband can take medicine to treat Helicobacter pylori.
"['nausea', 'Vomit']","There is no nausea, vomiting is fine, and there is a reaction in the early pregnancy."
['stomach ache'],Pain in the upper left abdomen?
['diarrhea'],Still have diarrhea?
['Cramps'],Vitamin U can relieve pain and relieve cramps. Where's Qingda?
['stomachache'],Dear! Still stomachache?
['Gastrointestinal disorders'],Consider gastrointestinal dysfunction.
"['Gastrointestinal discomfort', 'Black stool']","You're welcome. In response to this consultation, the doctor updated the summary recommendations: abdominal discomfort, melena problem consultation, it is recommended to check stool routine and occult blood examination."
['Perianal pain'],Is there any pain in the anus after defecation?
['Bloating'],Is the belly a little bloated right now?
['indigestion'],"Discharge of food, this considers indigestion."
"['nausea', 'Reflux']","Hello, do you have a lot of nausea and acid reflux?"
['Reflux'],I looked at your gastroscope and considered gastroesophageal reflux in combination with symptoms.
['Reflux'],"Both bile reflux and gastroesophageal reflux are present, and the drugs are still the above two, and need to continue to take."
['Reflux'],"Generally speaking, reflux disease requires acid suppression for more than 3 months, and some are stubborn or even longer."
['Reflux'],"No, gastroesophageal reflux is the reflux of food from the stomach to the esophagus, and bile reflux is the reflux of bile to the stomach."
['Gastrointestinal discomfort'],"No, I take Oak and Ricky now. If you have a temporary stomach upset, you can use Daxi temporarily."
"['Gastrointestinal discomfort', 'Reflux', 'Heart palpitations']","The reflux of bile and stomach contents can stimulate the esophagus and cause palpitation. Oak and Ricky eat normally for three days. If it is caused by reflux, it will get better. Daxi can be used temporarily when the stomach is upset. ."
['Reflux'],"Sometimes reflux is difficult to control, and the general course of treatment is 2-3 months."
['Helicobacter infection'],What is the test for Helicobacter pylori positive? Antibody or breath test.
['Helicobacter infection'],"If adults are confirmed to be positive for Helicobacter pylori, treatment is recommended according to the consensus of our country. You have liver damage, treat it after the best liver function improves."
['Helicobacter infection'],"No, Helicobacter pylori is a kind of bacteria in the stomach that can cause gastritis, gastric ulcer and other diseases."
['Helicobacter infection'],"You can leave it alone for the time being, wait until you stop breastfeeding, and then check a breath test to see the Helicobacter pylori condition, and then decide whether to treat it."
"['Hiccup', 'Reflux', 'Heartburn']","Are there any other symptoms? Heartburn, acid reflux, belching, constipation?"
['Blood in stool'],How many times in a day? Is there blood and pus in the stool?
['stomach ache'],Can abdominal pain after defecation be relieved?
['Gastrointestinal disorders'],"Consider intestinal dysfunction based on your symptoms, provided that organic diseases are excluded. It is best to go to the hospital to check the routine, add light snow, and enteroscopy. Sorry, it's occult blood. Wrong typography."
['Gastrointestinal disorders'],"Sorry, I was busy just now. Irritable bowel is a disorder of intestinal function, not an organic disease. You should treat it first, and if it is still not good, go to the hospital to check it to rule out enteritis."
['stomach ache'],"If you eat spicy food, your stomach hurts and bowel movements when cold, so don’t eat it."
['Gastrointestinal discomfort'],"From the perspective of health preservation, you shouldn’t eat spicy or cold stimulating food. This is not good for the stomach and intestines. You take a look at it first."
['Vomit'],Is vomiting bad?
['Blood in stool'],How long is this time? Is there blood on the surface of the stool or mixed blood in the stool this time?
['hemorrhoid'],"In your case, first consider the cause of hemorrhoids."
['hemorrhoid'],This first considers the cause of hemorrhoids.
['hemorrhoid'],Mayinglong hemorrhoid ointment can be used. Drink plenty of water if you eat or drink.
"['stomach ache', 'indigestion']",Dumplings may not digest well and cause abdominal pain.
['stomach ache'],"However, if the abdominal pain persists and does not alleviate, it is better to go to the hospital to have a B-scan of the abdomen."
['hemorrhoid'],"Well, let's take a look in the hospital, maybe the hemorrhoids are bigger."
['Blood in stool'],He bleeds when he encounters stool.
['hemorrhoid'],But your situation should first consider the cause of hemorrhoids.
['diarrhea'],"Some people drink on an empty stomach can also cause hypokalemia, or diarrhea can cause hypokalemia."
"['diarrhea', 'Gastrointestinal discomfort']","And you have diarrhea now, it's not suitable to eat too many bananas."
['Dizziness'],Low potassium will not make you dizzy.
['Gastrointestinal disorders'],Consider the intestinal dysfunction.
"['stomach ache', 'Bloating']","Greasy cold and spicy irritation can cause symptoms such as abdominal distension, abdominal pain, and abnormal bowel movements. Stop eating durian."
['stomach ache'],"Hello, are you a thin body? Does the stomach hurt?"
['Bowel'],You are talking about the sound of bowel movement.
"['Reflux', 'Heartburn']",Is there any acid reflux heartburn? Is the stool normal?
['fever'],"Normally not. If you have a cold and fever, medication may have an effect, but it will not necessarily increase."
